comment,equipId,countAt,reset,grouping,shipNames,classNames,shipTypes,subEquipIds,subEquipCategories,subEquipIds2,subEquipCategories2,firepower,bombing,torpedo,antiair,ASW,evasion,LoS,armor,accuracy,range,lastModified,subEquipLevel,subEquipLevel2
艦偵共通,54|151|273,1,,1,,改伊勢型,軽空母|正規空母|装甲空母,,,,,0|0|0|0|1|1|1|1|1|1|2,,0,0,0,0,0|0|1|1|1|1|2|2|2|2|3,0,0,0,2021/08/05
,545,1,,,加賀|加賀改|加賀改二|加賀改二戊|加賀改二護|大鳳|大鳳改,,,,,,,1,,,,,,,,,,2026/07/20
,545,*,,,翔鶴改二|翔鶴改二甲,,,,,,,1,,,,,1,2,,2,,2026/07/20
,545,*,,,瑞鶴改二|瑞鶴改二甲|加賀改二護|飛龍改三,,,,,,,1,,,,,,1,,1,,2026/07/20
,545,*,,,大鳳改|赤城改二戊|加賀改二戊,,,,,,,,,,,,,1,,1,,2026/07/20
三式指揮連絡機改二,549,*,,,あきつ丸|あきつ丸改|山汐丸|山汐丸改|熊野丸|熊野丸改,,,,,,,2|2|2|3|3|3|3|4|4|4|5,,,,4|4|4|4|4|5|5|5|5|6|6,1|1|1|1|1|1|2|2|2|2|2,,,1|1|1|1|2|2|2|2|3|3|3,,2026/07/20
,549,*,,,,鳳翔型|改鳳翔型|大鷹型,,,,,,1|1|1|1|1|1|1|1|1|1|2,,,,1|1|1|1|2|2|2|2|2|2|2,0|0|0|0|0|0|1|1|1|1|1,,,1|1|1|1|1|1|1|1|2|2|2,,2026/07/20
試製 明星(増加試作機),550,*,,,鳳翔|鳳翔改|鳳翔改二|鳳翔改二戦|瑞鳳|瑞鳳改|瑞鳳改二|瑞鳳改二乙,,,,,,,0|0|0|0|0|0|0|1|1|1|2,,,,,1|1|1|1|1|1|1|1|2|2|2,,,1|1|1|1|1|1|1|1|1|2|2,,2026/07/20
,550,*,,,瑞鳳|瑞鳳改|鳳翔改|龍鳳改|瑞鳳改二|瑞鳳改二乙|龍鳳改二戊|龍鳳改二|鳳翔改二|鳳翔改二戦,,,,,,,1,,,,,1,,,,,2026/07/20
明星改,551,*,,,鳳翔|鳳翔改|鳳翔改二|鳳翔改二戦|瑞鳳|瑞鳳改|瑞鳳改二|瑞鳳改二乙,,,,,,,,,,,,1,,,1,,2026/07/20
,551,*,,,瑞鳳|瑞鳳改|鳳翔改|龍鳳改|瑞鳳改二|瑞鳳改二乙|龍鳳改二戊|龍鳳改二|鳳翔改二|鳳翔改二戦,,,,,,,2|2|2|2|2|2|2|2|3|3|4,,,,,2|2|2|2|2|2|2|2|2|3|3,,,1|1|1|1|1|1|1|2|2|2|2,,2026/07/20
九九式練爆二二型改(夜間装備実験機),552,*,,,鳳翔|鳳翔改|鳳翔改二|鳳翔改二戦|瑞鳳|瑞鳳改|瑞鳳改二|瑞鳳改二乙,,,,,,,,,,,,1,,,1,,2026/07/20
,552,*,,,瑞鳳|瑞鳳改|鳳翔改|龍鳳改|瑞鳳改二|瑞鳳改二乙|龍鳳改二戊|龍鳳改二|鳳翔改二|鳳翔改二戦,,,,,,,1,,,,,1,,,,,2026/07/20
,552,*,,,龍鳳改二戊|鳳翔改二戦,,,,,,,2|2|2|2|2|2|3|3|4|4|5,,,,,3|3|3|4|4|4|4|4|4|5|5,,,3|3|3|3|3|3|3|4|4|4|4,,2026/07/20
,552,*,,,瑞鳳改二|瑞鳳改二乙|赤城改二戊|加賀改二戊|龍鳳改二,,,,,,,1|1|1|1|1|1|1|1|1|1|2,,,,,1|1|1|1|1|1|1|2|2|3|3,,,2|2|2|2|2|2|2|2|3|3|3,,2026/07/20
零式艦戦62型改(夜間爆戦),557,*,,,鳳翔|鳳翔改|鳳翔改二|鳳翔改二戦|瑞鳳|瑞鳳改|瑞鳳改二|瑞鳳改二乙,,,,,,,,,,,,1,,,1,,2026/07/20
,557,*,,,瑞鳳|瑞鳳改|鳳翔改|龍鳳改|瑞鳳改二|瑞鳳改二乙|龍鳳改二戊|龍鳳改二|鳳翔改二|鳳翔改二戦,,,,,,,1,,,,,1,,,,,2026/07/20
,557,*,,,龍鳳改二戊|鳳翔改二戦,,,,,,,2|3|3|3|3|3|3|3|3|3|3,,,,,3,,,3|3|4|4|4|4|4|4|4|4|4,,2026/07/20
,557,*,,,瑞鳳改二|瑞鳳改二乙|赤城改二戊|加賀改二戊|龍鳳改二,,,,,,,1,,,,,1,,,2|2|3|3|3|3|3|3|3|3|3,,2026/07/20
零式艦戦62型改(熟練/夜間爆戦),558,*,,,鳳翔|鳳翔改|鳳翔改二|鳳翔改二戦|瑞鳳|瑞鳳改|瑞鳳改二|瑞鳳改二乙,,,,,,,,,,,,1,,,1,,2026/07/20
,558,*,,,瑞鳳|瑞鳳改|鳳翔改|龍鳳改|瑞鳳改二|瑞鳳改二乙|龍鳳改二戊|龍鳳改二|鳳翔改二|鳳翔改二戦,,,,,,,1,,,,,1,,,,,2026/07/20
,558,*,,,龍鳳改二戊|鳳翔改二戦,,,,,,,2|4|4|4|4|4|4|4|4|4|4,,,,,3,,,3|3|4|4|4|4|4|4|4|4|4,,2026/07/20
,558,*,,,瑞鳳改二|瑞鳳改二乙|赤城改二戊|加賀改二戊|龍鳳改二,,,,,,,1|2|2|2|2|2|2|2|2|2|2,,,,,1,,,2|2|3|3|3|3|3|3|3|3|3,,2026/07/20
夜間作戦航空要員,258,*,,,*,,,,,,,,,,,,0|0|1|1|1|1|1|1|1|1|1,,,0|0|1|1|1|1|1|1|1|1|1,,2026/07/20
,258,*,,,大鳳改|赤城改二戊|加賀改二戊|龍鳳改二戊|鳳翔改二戦,,,,,,,0|0|1|1|1|1|1|1|1|1|1,,,,,0|0|1|1|1|1|1|1|1|1|1,,,0|0|1|1|1|1|1|1|1|1|1,,2026/07/20
10cm連装高角砲改,553,*,,,,秋月型,,,,,,0|0|0|0|1|1|1|1|1|1|1,,,0|0|1|1|1|1|1|1|2|2|2,,0|0|0|0|0|0|0|0|0|0|1,,,0|0|0|0|0|0|1|1|1|1|1,,2026/07/20
,553,*,,,涼波改二補|藤波改二|早波改二|浜波改二|玉波改二|涼波改二,,,,,,,0|0|0|0|1|1|1|1|1|1|1,,,0|0|1|1|1|1|1|1|2|2|2,,0|0|0|0|0|0|0|0|0|0|1,,,0|0|0|0|0|0|1|1|1|1|1,,2026/07/20
九七式艦攻改(北東海軍航空隊),554,*,,,*,,,,,,,0|0|1|1|1|1|1|1|2|2|2,,,,0|0|0|0|0|0|1|1|1|1|1,,,,0|0|0|0|1|1|1|1|1|1|2,,2026/07/20
,554,*,,,,,軽空母,,,,,1,,,,1,1,,,,,2026/07/20
,554,*,,,瑞鳳改|鳳翔改|龍鳳改|瑞鳳改二|瑞鳳改二乙|龍鳳改二戊|龍鳳改二|鳳翔改二,,,,,,,1,,,,,,,,1,,2026/07/20
,554,*,,,鳳翔改二,,,,,,,1,,,,,,,,,,2026/07/20
,554,*,,,,鳳翔型|改鳳翔型|大鷹型,,,,,,,,,,1,1,,,1,,2026/07/20
,554,*,,,*,,,402,,,,3,,,,3,1,,,2,,2026/07/20
18cm/57 三連装主砲,555,*,,,*,,,,,,,0|0|0|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|1,,,0|0|0|0|0|0|0|1|1|1|1,,2026/07/20
,555,*,,,Киров|Киров改,,,,,,,2|2|2|2|2|2|2|2|2|3|5,,,,1,,,,1,,2026/07/20
,555,*,,,Киров|Киров改,,,556,,,,1,,,3,,2,,,1,,2026/07/20
,555,*,,,Киров|Киров改,,,402,,,,1,,,,1,2,,,,,2026/07/20
10cm/56 単装高角砲(集中配備),556,*,,,Гангут|Октябрьская революция|Гангут два|Киров|Киров改,,,,,,,1,,,3,,1,,,1,,2026/07/20
Ju87C改,64,*,,,,Bismarck級|Z1型|Admiral Hipper級|UボートIXC型|Graf Zeppelin級,,,,,,0|0|0|0|0|0|0|1|1|2|3,,,0|0|0|0|0|0|0|0|0|0|1,,,,,0|0|0|0|0|0|0|0|1|2|3,,2026/07/20
,64,*,,,赤城|赤城改|赤城改二|赤城改二戊|神鷹|神鷹改|神鷹改二,,,,,,,0|0|0|0|0|0|0|0|0|1|2,,,,,,,,0|0|0|0|0|0|0|0|0|0|1,,2026/07/20
Ju87 D-4(Fliegerass),559,*,,,,Bismarck級|Z1型|Admiral Hipper級|UボートIXC型|Graf Zeppelin級,,,,,,8,,,1,,2,,,6,,2026/07/20
,559,*,,,赤城|赤城改|赤城改二|赤城改二戊|神鷹|神鷹改|神鷹改二,,,,,,,3,,,,,1,,,2,,2026/07/20
Bf109T改,158,*,,,,Bismarck級|Z1型|Admiral Hipper級|UボートIXC型|Graf Zeppelin級,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,0|0|0|0|0|0|0|1|1|2|3,,0|0|0|0|0|0|0|0|1|2|4,,,0|0|0|0|0|0|0|0|0|1|2,,2026/07/20
,158,*,,,赤城|赤城改|赤城改二|赤城改二戊|神鷹|神鷹改|神鷹改二,,,,,,,,,,0|0|0|0|0|0|0|0|0|1|2,,0|0|0|0|0|0|0|0|0|1|2,,,0|0|0|0|0|0|0|0|0|0|1,,2026/07/20
Bf109 T-3(G),560,*,,,,Bismarck級|Z1型|Admiral Hipper級|UボートIXC型|Graf Zeppelin級,,,,,,3,,,4,,5,,,3,,2026/07/20
,560,*,,,赤城|赤城改|赤城改二|赤城改二戊|神鷹|神鷹改|神鷹改二,,,,,,,1,,,2,,3,,,1,,2026/07/20
甲標的 丙型,309,*,,,大井改二|北上改二|最上改二特|三隈改二特|日進甲|夕張改二特|球磨改二丁|矢矧改二乙|日進改,,,,,,,,,,,,0|0|0|0|0|0|0|1|0|0|0,,,0|0|0|0|0|0|0|0|1|1|1,,2026/07/20
,309,*,,,*,,,,,,,,,0|0|0|0|0|0|0|0|0|1|1,,,0|0|0|0|0|0|0|0|1|1|1,,,0|0|0|0|0|0|0|0|0|0|1,,2026/07/20
22号対水上電探,28,*,,,村雨|村雨改|村雨改二|峯雲|峯雲改,,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,,,0|0|0|0|0|0|0|1|1|2|2,,,0|0|0|0|0|0|0|0|1|1|1,,2026/07/20
22号対水上電探改四:88/22号対水上電探改四(後期調整型):240/電探装備マスト(13号改＋22号電探改四):506/逆探(E27)＋22号対水上電探改四(後期調整型):517,88|240|506|517,*,,1,村雨|村雨改|村雨改二|峯雲|峯雲改,,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,,,0|0|0|0|0|0|0|0|1|2|2,,,,,2026/07/20
21cm単装主砲,564,*,,,Norge改|Eidsvold改|Norge|Eidsvold,夕張型,,,,,,2|2|2|2|2|2|2|3|3|4|4,,,,,,,,1|1|1|1|1|1|1|1|2|2|3,,2026/07/20
,564,1,,,Norge改|Eidsvold改|Norge|Eidsvold,夕張型,,565,,,,,,,,,1,,,1,,2026/07/20
,564,2,,,Norge改|Eidsvold改|Norge|Eidsvold,夕張型,,,,,,2,,,,,,,,,,2026/07/20
15cm単装副砲,565,*,,,Norge改|Eidsvold改|Norge|Eidsvold,扶桑型|夕張型,,,,,,1|1|1|1|1|1|1|2|2|3|3,,,,,,,,2|2|2|2|2|2|2|2|3|3|4,,2026/07/20
,565,2,,,Norge改|Eidsvold改|Norge|Eidsvold,扶桑型|夕張型,,,,,,2,,,,,1,,,1,,2026/07/20
Sea Gladiator,567,*,,,Glorious改|Glorious,Queen Elizabeth級|Ark Royal級|J級|Nelson級|Town級|Illustrious級,,,,,,,,,1|1|1|1|1|1|1|1|2|2|2,,2|2|2|2|2|2|2|3|3|4|4,,,0|0|0|0|0|0|0|0|0|0|1,,2026/07/20
5inch連装砲 Mk.28 mod.2,172,*,,,,Iowa級|Colorado級|South Dakota級|North Carolina級|Nevada級,,,,,,,,,0|0|0|0|0|0|0|1|1|2|2,,0|0|0|0|0|0|0|0|1|1|1,,,0|0|0|0|0|0|0|0|0|0|1,,2026/07/20
,172,*,,,,Iowa級,,,,,,0|0|0|0|0|0|0|1|1|1|2,,,0|0|0|0|0|0|1|1|1|1|1,,0|0|0|0|0|1|1|1|1|2|2,,,0|0|0|0|0|0|0|0|1|1|1,,2026/07/20
震電改二(艦戦型改二),547,*,,,飛龍改二,,,,,,,,,,1,,2,,,1,,2026/07/20
,547,*,,,翔鶴改二|瑞鶴改二|翔鶴改二甲|瑞鶴改二甲,,,,,,,,,,1,,1,,,,,2026/07/20
,547,*,,,飛龍改三,,,,,,,1,,,3,,3,,,2,,2026/07/20
,547,*,,,*,,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,0|0|0|0|0|0|0|0|1|1|1,,,,,0|0|0|0|0|0|1|1|1|1|1,,2026/07/20
三式爆雷投射機改,569,*,,,時雨改三|早波改二|玉波改二|吹雪改三|吹雪改三護(六式),,,,,,,,,,,1,1,,,1,,2026/07/20
,569,*,,,風雲改二|秋雲改二,,,,,,,,,,,,1,,,1,,2026/07/20
,569,*,,,,松型,,,,,,,,,,,,,,1,,2026/07/20
,569,*,,,,,海防艦,,,,,,,,,,,,,1,,2026/07/20
,569,*,,,*,,,,,,,,,,,0|0|0|0|0|0|0|0|1|1|1,0|0|0|0|0|0|1|1|1|1|1,,,0|0|0|0|0|0|0|0|0|0|1,,2026/07/20
流星改(友永隊),570,*,,,飛龍改三,,,,,,,9,,,2,,2,,,3,,2026/07/20
,570,*,,,飛龍改二,,,,,,,8,,,1,,1,,,2,,2026/07/20
,570,*,,,飛龍|飛龍改|蒼龍改二,,,,,,,4,,,1,,,,,1,,2026/07/20
,570,*,,,蒼龍|蒼龍改,,,,,,,3,,,,,,,,1,,2026/07/20
,570,*,,,赤城|赤城改|赤城改二|赤城改二戊|加賀|加賀改|加賀改二|加賀改二戊|加賀改二護|翔鶴|翔鶴改|翔鶴改二|翔鶴改二甲|瑞鶴|瑞鶴改|瑞鶴改二|瑞鶴改二甲|大鳳|大鳳改,,,,,,,2,,,,,,,,1,,2026/07/20
,570,*,,,*,,,,,,,0|0|0|0|0|0|0|0|1|1|1,,,,,,,,0|0|0|0|0|0|1|1|1|1|2,,2026/07/20
53cm連装魚雷改(酸素魚雷),571,*,,,,神風型,,,,,,1,,7,,,3,,,2,,2026/07/20
,571,*,,,金剛改二丙|比叡改二丙|霧島改二丙|榛名改二丙,,,,,,,1,,8,,,4,,,2,,2026/07/20
,571,*,,,榛名改二乙,,,,,,,,,7,,,3,,,1,,2026/07/20
,571,*,,,由良改二|夕張改二|夕張改二特|夕張改二丁,,,,,,,3,,8,,,6,,,2,,2026/07/20
,571,*,,,*,,,,,,,,,0|0|0|0|0|0|1|2|2|2|3,,,0|0|0|0|0|0|0|0|0|6|6,,,0|0|0|0|0|0|0|0|1|1|1,,2026/07/20
試製 23号電探改三,573,1,,,丹陽|雪風改二|時雨改三|稲木改二|吹雪改三|吹雪改三護(六式),,,,,,,2|2|2|2|2|2|2|2|2|3|3,,,,,3|3|3|3|3|3|3|4|4|4|4,,,3|3|3|3|3|3|3|3|4|4|5,,2026/07/20
,573,1,,,*,,,379|572,,,,,,,,,0|0|0|0|1|1|1|1|2|2|2,,,0|0|0|0|0|0|1|1|1|1|2,,2026/07/20
25mm連装機銃(熟練機銃員分隊),575,*,,,,綾波型|暁型|初春型|吹雪型|朝潮型|島風型|白露型|改白露型|改装白露型|睦月型|陽炎型|改装陽炎型|改陽炎型|夕雲型|改夕雲型|秋月型|神風型|占守型|択捉型|日振型|御蔵型|松型|丁型海防艦|鵜来型|改鵜来型,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,1|1|1|1|1|1|1|2|2|2|2,,1|1|1|1|1|1|1|1|2|2|2,,,0|0|0|0|0|0|0|0|0|1|1,,2026/07/20
,575,*,,,,夕雲型|改夕雲型,,,,,,1,,,,,1,,,,,2026/07/20
,575,*,,,涼波改二補|藤波改二|早波改二|浜波改二|玉波改二|涼波改二,,,,,,,1,,,,,,,,1,,2026/07/20
,575,*,,,,球磨型|改装球磨型|川内型|長良型|天龍型|夕張型|阿賀野型|改阿賀野型|大淀型,,,,,,,,,0|0|0|0|0|0|0|0|1|1|1,,1|1|1|1|1|1|1|1|1|2|2,,,0|0|0|0|0|0|0|0|0|0|1,,2026/07/20
大発動艇(R35&amp;フランス兵),576,*,,,,C.Teste級|Richelieu級|La Galissonnière級|Mogador級,,,,,,3,,,,,1,,,2,,2026/07/20
,576,*,,,*,,,,,,,0|0|1|1|1|1|1|1|1|1|1,,,,,,,,,,2026/07/20
SB2U-2,578,*,,,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,1,,,,,,1,,,,2026/07/20
,578,*,,,Ranger|Ranger改|Lexington|Lexington改,,,,,,,1,,,,,1,1,,1,,2026/07/20
,578,*,,,Saratoga|Saratoga改|Saratoga Mk.II|Saratoga Mk.II Mod.2,,,,,,,,,,,,1,1,,1,,2026/07/20
,578,*,,,Glorious改|Glorious,Queen Elizabeth級|Ark Royal級|J級|Nelson級|Town級|Illustrious級,,,,,,,,,,,,1,,,,2026/07/20
,578,*,,,*,,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,0|0|0|0|0|0|0|0|1|1|1,,0|0|0|0|0|0|0|0|0|1|1,,,0|0|0|0|0|0|0|1|1|1|1,,2026/07/20
13.8cm単装砲 Modele 1927,579,*,,,,C.Teste級|Richelieu級|La Galissonnière級|Mogador級,,,,,,1,,,,,1,,,,,2026/07/20
,579,*,,,,C.Teste級|La Galissonnière級|Mogador級,,,,,,,,,,,1,,,1,,2026/07/20
,579,*,,,,C.Teste級|La Galissonnière級|Mogador級,,580,,,,1,,1,,,,,,1,,2026/07/20
,579,*,,,,C.Teste級|La Galissonnière級|Mogador級,,,水上電探,,,1,,,,,,,,2,,2026/07/20
,579,*,,,*,,,579,,,,1,,,,,,,,,,2026/07/20
,579,*,,,*,,,,,,,0|0|0|0|0|0|1|1|1|1|1,,,,,,,,,,2026/07/20
55cm三連装魚雷 Modele 1924,580,*,,,,C.Teste級|Richelieu級|La Galissonnière級|Mogador級,,,,,,,,2,,,,,,1,,2026/07/20
,580,*,,,,La Galissonnière級|Mogador級,,,,,,,,1,,,2,,,1,,2026/07/20
,580,*,,,,La Galissonnière級,,,,,,,,1,,,,,,,,2026/07/20
,580,*,,,,La Galissonnière級|Mogador級,,,水上電探,,,,,1,,,,,,1,,2026/07/20
55cm複合配置五連装魚雷 Modele 1932,581,*,,,,C.Teste級|Richelieu級|La Galissonnière級|Mogador級,,,,,,,,2,,,,,,1,,2026/07/20
,581,*,,,,La Galissonnière級|Mogador級,,,,,,,,2,,,1,,,1,,2026/07/20
,581,*,,,,La Galissonnière級,,,,,,,,1,,,,,,,,2026/07/20
,581,*,,,,Mogador級,,,,,,,,2,,,,,,,,2026/07/20
,581,*,,,,La Galissonnière級|Mogador級,,,水上電探,,,,,1,,,,,,1,,2026/07/20
,581,*,,,*,,,,,,,,,0|0|1|1|1|1|1|1|1|1|1,,,,,,,,2026/07/20
20.3cm/50 連装砲 Modele 1931,582,*,,,,Zara級|C.Teste級|Richelieu級,,,,,,1,,,,,,,,1,,2026/07/20
20.3cm/50 連装砲改(SHS改良弾),583,*,,,,Zara級|C.Teste級|Richelieu級,,,,,,1,,,,,,,,1,,2026/07/20
,583,*,,,*,,,,,,,0|0|0|1|1|1|1|1|1|1|1,,,,,,,,0|1|1|1|1|1|1|1|1|1|1,,2026/07/20
Bofors 12cm単装両用砲,584,*,,,,Gotland級,,,,,,1,,,,,1,,,1,,2026/07/20
,584,*,,,*,,,,,,,0|0|1|1|1|1|1|1|1|1|1,,,,,,,,0|0|0|0|1|1|1|1|1|1|1,,2026/07/20
PL101(偵察),585,*,,,,C.Teste級|Richelieu級|La Galissonnière級|Mogador級,,,,,,2,,,1,,1,3,,2,,2026/07/20
,585,*,,,,鳳翔型|改鳳翔型,,,,,,2,,,1,,1,3,,2,,2026/07/20
,585,*,,,*,,,,,,,0|0|0|0|0|0|1|1|1|1|1,,,,,0|0|0|0|0|0|1|1|1|1|1,0|0|0|0|0|0|1|1|1|1|1,,0|0|0|0|0|0|1|1|1|1|1,,2026/07/20
PL101(爆装),586,*,,,,C.Teste級|Richelieu級|La Galissonnière級|Mogador級,,,,,,1,,,1,,1,,,1,,2026/07/20
,586,*,,,,鳳翔型|改鳳翔型,,,,,,1,,,1,,1,,,1,,2026/07/20
V-156F(SB2U輸出型),587,*,,,,C.Teste級|Richelieu級|La Galissonnière級|Mogador級,,,,,,1,,,1,,1,,,1,,2026/07/20
,587,*,,,,鳳翔型|改鳳翔型,,,,,,1,,,1,,1,,,1,,2026/07/20
,587,*,,,*,,,,,,,0|0|0|0|3|3|3|3|3|3|3,,,,,0|0|0|0|1|1|1|1|1|1|1,,,0|0|0|0|2|2|2|2|2|2|2,,2026/07/20
G-36A(F4F輸出型),588,*,,,,C.Teste級|Richelieu級|La Galissonnière級|Mogador級,,,,,,1,,,1,,1,,,1,,2026/07/20
,588,*,,,,鳳翔型|改鳳翔型,,,,,,1,,,1,,1,,,1,,2026/07/20
,588,*,,,Glorious改|Glorious,Queen Elizabeth級|Ark Royal級|J級|Nelson級|Town級|Illustrious級,,,,,,1,,,2,,1,,,1,,2026/07/20
,588,*,,,*,,,,,,,,,,0|0|0|0|0|3|3|3|3|3|3,,0|0|0|0|0|2|2|2|2|2|2,,,0|0|0|0|0|1|1|1|1|1|1,,2026/07/20
瑞雲,26|62|79|80|81|207|208,1,,1,能代改二,,,,,,,2,,,,,1,,,,,2026/07/21,,
,26|62|79|80|81|207|208,1,,1,最上改二|最上改二特|矢矧改二|矢矧改二乙,,,,,,,2,,,,,,,,,,2026/07/21,,
,26|62|79|80|81|207|208,1,,1,三隈改二|三隈改二特,,,,,,,1,,,,,,,,,,2026/07/21,,
,26|62|79|80|81|207|208,*,,1,最上改二|三隈改二|最上改二特|三隈改二特|矢矧改二|矢矧改二乙,,,,,,,,,,1,,1,,,,,2026/07/21,,
20.3cm(3号)連装砲,50,*,,,,古鷹型|青葉型,,,,,,1,,,,,,,,,,2026/07/21,,
,50,1,,,,古鷹型|青葉型,,,水上電探,,,1,,1,,,1,,,,,2026/07/21,,
,50,1,,,,古鷹型|青葉型,,,水上電探,90,,-1,,-1,,,-1,,,,,2026/07/21,,
,50,*,,,,最上型|妙高型|高雄型|利根型,,,,,,2,,,,,1,,,,,2026/07/21,,
,50,1,,,,最上型|妙高型|高雄型|利根型,,,水上電探,,,3,,2,,,2,,,,,2026/07/21,,
,50,*,,,,最上型|利根型,,50,,,,1,,,,,,,,,,2026/07/21,,
,50,*,,,最上改二|三隈改二|最上改二特|三隈改二特,,,,,,,1,,,,,,,,,,2026/07/21,,
,50,1,,,最上改二|最上改二特,,,,水上電探,,,1,,,,,1,,,,,2026/07/21,,
,50,1,,,最上改二|三隈改二|最上改二特|三隈改二特,,,30|410,,,,1,,,3,,2,,,,,2026/07/21,,
,50,1,,,最上改二|三隈改二|最上改二特|三隈改二特,,,410,,,,2,,,,,,,,,,2026/07/21,,
,50,*,,,Thonburi|Thonburi改,,,,,,,,,,,,,,,0|0|0|0|0|0|0|0|0|1|1,,2026/07/21,,
,50,*,,,Thonburi|Thonburi改,,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,,,,,,,,2026/07/21,,
零式水上観測機,59,1,,,最上改二|三隈改二|最上改二特|三隈改二特,,,,,,,,,,1,,1,,,,,2026/07/21,,
二式艦上偵察機,61,1,,,伊勢改二,,,,,,,3,,,,,2,,1,5,1,2026/07/21,,
,61,1,,,日向改二,,,,,,,3,,,,,3,,3,5,1,2026/07/21,,
,61,1,,,飛龍改二|蒼龍改二|飛龍改三,,,,,,,,,,,,,,,5,1,2026/07/21,,
,61,1,,,,蒼龍型,,,,,,0|3|3|3|3|3|3|3|3|3|3,,,,,,0|3|3|3|3|3|3|3|3|3|3,,,,2026/07/21,,
,61,1,,,,飛龍型,,,,,,0|2|2|2|2|2|2|2|2|2|2,,,,,,0|2|2|2|2|2|2|2|2|2|2,,,,2026/07/21,,
,61,1,,,鈴谷航改二|熊野航改二|瑞鳳改二乙,,,,,,,0|1|1|1|1|1|1|1|1|1|1,,,,,,0|1|1|1|1|1|1|1|1|1|1,,,,2026/07/21,,
,61,1,,,蒼龍改二,,,,,,,0|0|0|0|0|0|0|0|1|1|1,,,,,,0|0|0|0|0|0|0|0|1|1|1,,,,2026/07/21,,
13号対空電探改,106|450,*,,1,時雨改二|榛名改二|潮改二|初霜改二|長門改二|榛名改二乙|榛名改二丙,改大和型|改装白露型,,,,,,1,,,2,,3,,1,,,2026/07/21,,
,106|450,*,,1,響|響改|Верный|鹿島|鹿島改,大淀型,,,,,,,,,1,,3,,1,,,2026/07/21,,
,106|450,*,,1,雪風|雪風改|霞|霞改|矢矧|矢矧改|磯風|磯風改|浜風|浜風改|朝霜|朝霜改|朝霜改二補|霞改二|霞改二乙|涼月|涼月改|磯風乙改|浜風乙改|朝霜改二|丹陽|矢矧改二|矢矧改二乙,改陽炎型,,,,,,,,,2,,2,,1,,,2026/07/21,,
,106|450,1,,1,矢矧改二|矢矧改二乙,,,,,,,1,,,1,,1,,1,,,2026/07/21,,
,106|450,1,,1,矢矧改二乙,,,,,,,,,,1,,1,,,,,2026/07/21,,
13号対空電探改(後期型),450,*,,,,松型,,,,,,1,,,2,,3,,1,,,2026/07/21,,
,450,*,,,Thonburi|Thonburi改|Norge|Norge改|Eidsvold|Eidsvold改,日振型|占守型|択捉型|御蔵型|丁型海防艦|鵜来型|改鵜来型,,,,,,,,,1,,2,,1,,,2026/07/21,,
,450,1,,,涼波改二補|早霜改二|藤波改二|早波改二|浜波改二|玉波改二|涼波改二,改夕雲型,,,,,,0|0|0|0|1|1|1|1|1|1|1,,,0|0|0|0|1|1|1|1|1|1|1,,0|0|0|0|2|2|2|2|2|2|2,,,0|0|0|0|1|1|1|1|1|1|1,,2026/07/21,,
,450,1,,,丹陽|時雨改三|吹雪改三|吹雪改三護(六式),改陽炎型,,,,,,0|0|0|0|1|1|1|1|1|1|1,,,0|0|0|0|2|2|2|2|2|2|2,,0|0|0|0|3|3|3|3|3|3|3,,,,,2026/07/21,,
,450,1,,,丹陽|時雨改三|吹雪改三|吹雪改三護(六式),改陽炎型,,,,,,,,,0|0|0|0|0|0|0|0|1|1|1,,,,,,,2026/07/21,,
,450,1,,,丹陽|時雨改三|吹雪改三|吹雪改三護(六式),改陽炎型,,,,,,,,,,,,,,0|0|0|0|0|0|0|0|0|0|1,,2026/07/21,,
紫雲,118,*,,,,大淀型,,,,,,1,,,,,2,2,,,,2026/07/21,,
,118,*,,,,大淀型,,,,,,0|0|0|0|0|0|0|0|0|0|2,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,,2026/07/21,,
,118,*,,,三隈改二特,,,,,,,3,,,,,1,2,,,,2026/07/21,,
,118,*,,,三隈改二特,,,,,,,,,,,,,,,0|0|1|1|1|1|1|1|1|1|1,,2026/07/21,,
,118,*,,,三隈改二特,,,,,,,,,,,,0|0|0|0|0|1|1|1|1|1|1,,,,,2026/07/21,,
,118,*,,,三隈改二特,,,,,,,0|0|0|0|0|0|0|1|1|1|1,,,,,,,,,,2026/07/21,,
,118,*,,,三隈改二特,,,,,,,0|0|0|0|0|0|0|0|0|0|1,,0|0|0|0|0|0|0|0|0|0|1,0|0|0|0|0|0|0|0|0|0|1,,0|0|0|0|0|0|0|0|0|0|1,0|0|0|0|0|0|0|0|0|0|1,,,,2026/07/21,,
94式高射装置,121,1,,,,秋月型,,,,,,,,,4,,2,,,,,2026/07/21,,
